Node,Latitude,Longitude,Generator,mva_generator,Load
1,42.53286,-72.61756,,,
2,42.81960,-72.57636,,,
3,42.05339,-72.63953,,,Yes
4,41.76518,-72.64227,,,Yes
5,41.87980,-72.75763,,,
6,41.44863,-72.88947,,,
7,41.35827,-73.29596,,,Yes
8,41.57410,-73.46076,,,Yes
9,41.55383,-73.08447,,,
10,41.34590,-72.12582,,,
11,41.57438,-72.45551,,,
12,41.78362,-72.18360,,,
13,41.59697,-71.91443,,,
14,41.73649,-72.21106,,,
15,42.1874,-71.56836,,,Yes
16,42.36262,-71.52991,,,Yes
17,42.38952,-71.77985,,,
18,42.12473,-72.12042,,,Yes
19,41.84093,-71.44477,,,
20,41.77747,-71.10419,,,Yes
21,42.25090,-71.17011,,,Yes
22,41.83889,-70.83502,,,
23,41.78157,-70.55487,,,Yes
24,42.37479,-71.14989,,,Yes
25,42.85383,-72.30719,,,Yes
26,42.77324,-71.46399,,,Yes
27,42.60770,-71.36237,,,Yes
28,43.27123,-70.64551,,,Yes
29,43.50475,-70.45600,,,Yes
30,42.70589,-73.79277,10,1100,
31,41.30994,-72.92926,2,646,Yes
32,41.06477,-72.434484,3,725,
33,41.66395,-71.42669,4,652,
34,41.45353,-70.83022,5,508,
35,41.74006,-70.59865,6,687,
36,41.70021,-70.29983,7,580,
37,44.00462,-69.66182,8,564,
38,43.1946,-72.45122,9,865,
39,42.86946,-72.88541,1,1040,Yes
